Word,Meaning,Usage,Gujarati
beg,"assume something is true(usu. followed by “the question”, meaning that you ask a question in which you assume something that hasn’t been proven true)",By assuming that Charlie was headed to college-which he was not- Maggie begged the question when she asked him to which school he was headed in Fall.,
Exegesis,"critical explanation or analysis, especially of a text",The Bible is fertile ground for exegesis-over the past five centuries there have been as many interpretations as there are pages in the Old Testament.,
Ponderous,weighed-down; moving slowly,"Laded with 20 kilograms of college text books, the freshman moved ponderously across the campus.",
Hector,to bully or intimidate,"The boss’s hectoring manner put off many employees, some of whom quit as soon as they found new jobs.",
Kowtow,to bow or act in subservient manner,Paul kowtowed to his boss so often the boss herself became nauseated by his sycophancy.,
Anathema,a detested person; the source of somebody’s hate,"Hundreds of years ago, Galileo was anathema to church; today the church is anathema to some on the left side of the political spectrum.",
Byzantine,intricate and complex,Getting a driver’s license is not simply a matter of taking a test; the regulations and procedures are so byzantine that many have found themselves at the mercy of the Department of Motor Vehicles.,
Jingoist,a person who thinks their country is always right and who is in favor of aggressive acts against other countries,"In the days leading up to war, a nation typically breaks up into the two opposing camps: doves, who do their best to avoid war, and jingoists, who are only too eager to wave national flags from their vehicles and vehemently denounce those who do not do the same.",
Apogee,the highest point,"The apogee of the Viennese style of music, Mozart’s music continues to mesmerize audiences well into the 21st century.",
Zeitgeist,spirit of the times,Each decade has its own zeitgeist-the 1990’s was a prosperous time in which the promise of the American Dream never seemed more palable.,
Vicissitude,"change in one’s circumstances, usually for the worse","Even the great rulers have their vicissitudes-massive kingdoms have diminished overnight, and once beloved kings have faced the scorn of angry masses.",
Lascivious,lecherous; sexually perverted,"Lolita is a challenging novel for many, not necessarily because of the elevated prose style but because of the depravity of the main character, Humbert Humbert, who, as an old, lascivious man, lusts after a girl.",
Defray,"to help pay the cost of, either in part or full","In order for Sean to attend the prestigious college, his generous uncle helped defray the excessive tuition with a monthly donation.",
Malfeasance,misconduct or wrongdoing (especially by a public official),"Not even the mayor’s trademark pearly-toothed grin could save him from charges of malfeasance: while in power, he’d been running an illegal gambling rink in the room behind his office.",
Untoward,"unfavorable, inconvenient",Some professors find teaching untoward as having to prepare for lectures and conduct office hours prevents them from focusing on their research.,
Churlish,lacking manners or refinement,"The manager was unnecessarily churlish to his subordinates, rarely deigning to say hello, but always quick with a sartorial jab if someone happened to be wearing anything even slightly mismatching.",
Catholic,of broad scope; universal,Jonah’s friends said that Jonah’s taste in music was eclectic; Jonah was quick to point out that not only was his taste eclectic but it was also catholic: he enjoyed music from countries as far-flung as Mali and Mongolia.,
Arrant,complete and wholly (usually modifying a noun with negative connotation),"An arrant fool, Lawrence surprised nobody when he lost all his money in a pyramid scheme that was every bit as transparent as it was corrupt.",
Expansive,"communicative, and prone to talking in a sociable manner","After a few sips of cognac, the octogenarian shed his irascible demeanor and became expansive, speaking fondly of the “good old days”.",
Chary,"cautious, suspiciously reluctant to do something","Having received three speeding tickets in the last two months, Jack was chary of driving at all above the speed limit, even on a straight stretch of highway that looked empty for miles ahead.",
Overweening,"arrogant, presumtuous",Mark was so convinced of his basketball skills that in his overweening pride he could not fathom that his name was not on the varsity list; he walked up to the basketball coach and told her she had forgotten to add his name.,
Base,"the lowest, without any moral principles",She was not so base as to begrudged the beggar the unwanted crumbs from her dinner plate.,
Sybarite,a person who indulges in luxury,"Despite the fact that he’s maxed out fifteen credit cards, Max was still a sybarite at heart: when the police found him, he was at a $1,000 an hour spa in Manhattan, getting a facial treatment.",
Protean,ready taking on different roles; versatile,"Peter Sellers was truly a protean actor- in Doctor Strangelove he played three very different roles: a jingoist general, a sedate President and deranged scientist.",
Arch,to be deliberately teasing,"The baroness was arch, making playful asides to the townspeople; yet because they couldn’t pick up on her dry humor, they thought her supercilious.",
Benighted,fallen into a state of ignorance,Far from being a period of utter benightedness The Medieval Ages produced some great works of theological speculation.,
Pyrrhic,describing a victory that comes at such a great cost that the victory is not worthwhile,George W. Bush’s win in the 2000 election was in many ways a pyrrhic victory; the circumstances of his win alienated half of the  U.S. population.,
Mulct,to defraud or swindle,"The so-called magical diet cure simply ended up mulcting Maria out of hundreds of dollars, but did nothing for her weight.",
Mellifluous,smooth and sweet-sounding,"Chelsea’s grandmother thought Franz Schubert’s music to be the most mellifluous ever written; Chelsea demurred, and to her grandmother’s chagrin, would blast Rihanna on the home stereo speakers.",
Venial,easily excused or forgiven; pardonable,His traffic violations ran the gamut from the venial to the egregious-on one occasion he simply did not come to a complete stop; another time he tried to escape across state lines at speeds in excess of 140 mph.,
Quisling,a traitor,History looks unfavorably upon quislings; indeed they are accorded about the same fondness as Nero-who watched his city burn down while playing the violine.,
Pollyannaish,extremely optimistic,"Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her.",
Curmudgeon,"a grouchy, surly person","Since Uncle Mike was the family curmudgeon, each Thanksgiving he was plied with copious amounts of wine, in the hope that he would become less grouchy.",
Schadenfreude,joy form watching the suffering of others,"From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in arctic chill.",
Invective,abusive or denunciatory language,The Internet has unleashed the invectives in many of us; many people post stinging criticism on the comments section underneath newspaper articles or YouTube videos.,
