Word,Meaning,Usage,hindi/gujarati
Wanting,lacking,"She did not think her vocabulary was wanting, yet there were so many words that inevitable she found a few she didn’t know.",જોઇએ તેથી ઓછું
Extant,still in existence (usually refers to documents),"Despite many bookstores closing, experts predict that some form of book dealing will still be extant generations from now.",પ્રવર્તમાન
Prevaricate,to speak in an evasive way,"The cynic quipped, “There is not much variance in politicians; they all seem to prevaricate”.",સાચી હકીકત છુપાવવા ઉડાઉ જવાબ આપવો
Upbraid,"to reproach, to scold",Bob took a risk walking into the “Students Barbershop” - in the end he had to upbraid the apparently drunk barber for giving him an uneven bowl cut.,ઠપકો આપવો
Parochial,narrowly restricted in scope or outlook,"Jasmine was sad to admit it, but her fledgling relationship with Jacob did not work out because his culinary taster were simply too parochial; “After all,” she quipped on her blog, “he considered Chef Boyardee ethnic food.”",સંકુચિત
Betray,to reveal or make known something usually unintentionally,"With the gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotion.",ગુપ્ત ભેદ ખોલી નાખવું
Impertinent,being disrespectful; improperly forward or bold,"Dexter, distraught over losing his pet dachshund, Madeline, found the police officer’s questions impertinent- after all, he thought, did she have to pry into such details as to what Madeline’s favorite snack was?",ઉદ્ધત
Maintain,to assert,The scientists maintained that the extinction of dinosaurs was most likely brought about by a drastic change in climate.,ભારવૂર્વક કહેવું કે જાહેર કરવું
Extenuating,making less guilty or more forgivable,The jury was hardly moved by the man’s plea that his loneliness was an extenuating factor in his crime of dognapping a prized pooch.,શમન
Scintillating,describes someone who is brilliant and lively,Richard Feyman was renowned for his scintillating lectures- the arcana of quantum physics was made lucid as he wrote animatedly on the chalkboard.,ચમકદાર
Contrite,to be remorseful,"Though he stole his little sister’s licorice stick with malevolent glee, Chucky soon became contrite when his sister wouldn’t stop crying.","પસ્તાવો, "
