Word,Meaning
abase,"Degrade or humble; to lower in rank, status, or
esteem"
abrasive,"Rough, suitable for grinding or polishing (such
as sandpaper); causing irritation or annoyance"
abreast,"Side-by-side. The more common ""abreast of""
means keeping up with, staying aware of, or
remaining equal in progress with."
abscission,"Cutting off; sudden termination; the separation of leaves, petals, or other parts from a plant or animal"
abyss,A deep and vast space or cavity; anything profound or infinite
adumbrate,Give a rough outline of; foreshadow; reveal only partially; obscure
aerie,"Dwelling or fortress built on a high place; the nest of a bird of prey, such as an eagle or hawk, built on a mountain or cliff"
albeit,"Although, even though"
amortize,"Gradually pay off a debt, or gradually write off an asset"
analgesia,Pain relief; inability to feel pain
anoint,"Rub or sprinkle oil on; make sacred, such as by a ceremony that includes applying oil to someone"
apostle,"Pioneer of a reform movement (originally, an early follower of Jesus)"
apprise,"Inform, give notice to"
aseptic,Free from germs
asperity,"Rigor, severity; harshness or sharpness of tone; roughness of surface"
aspersions,"Damaging remarks, defamation, slander"
attuned,In harmony; in sympathetic relationship
augury,"Telling the future, such as through supernatural means"
balloon,Swell or puff out; increase rapidly
base,"Morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit"
baying,"Howling in a deep way, like a dog or wolf"
besiege,"Attack, overwhelm, crowd in on or surround"
bevy,Group of birds or other animals that stay close together; any large group
bilk,Cheat or defraud
blight,"Disease that kills plants rapidly, or any cause of decay or destruction (noun); ruin or cause to wither (verb)"
blithe,"Joyous, merry; excessively carefree (so as to ignore more important concerns)"
bonhomie,"Friendliness, open and simple good heartedness"
buffer,"Something that shields, protects, absorbs shock, or cushion"
bureaucracy,"Government characterized by many bureaus and petty administrators or by excessive, seemingly meaningless requirements"
bygone,"Past, former (adj); that which is in the past (usually plural noun)"
canonical,"Authorized, recognized; pertaining to the canon, or body of accepted rules, standards or artistic works"
capricious,"Acting on impulse, erratic"
cartography,Mapmaking
clamber,"Climb awkwardly or with difficulty, scramble"
clinch,Make final or settle conclusively; to fasten or hold together
coffer,"Chest for storing valuables; financial resources, a treasury"
collude,Conspire; cooperate for illegal or fraudulent purposes
conciliatory,"Reconciling, appeasing, attempting to make the peace"
confer,"Consult, compare views; bestow or give"
connote,"Suggest or imply in addition to the precise, literal meaning"
contextualize,"Place in context, such as by giving the background or circumstances"
contraries,Things that are opposing; either of two opposite things
conversant,Knowledgeable about or experienced with
cosset,"Treat as a pet, pamper"
counterpoint,"Contrasting item, opposite; a
complement; the use of contrast or
interplay in a work of art"
counterproductive,"Defeating the purpose; preventing the
intended goal"
curmudgeon,"Bad-tempered, difficult person; grouch"
declaim,"Speak in an impassioned, pompous, or oratorical manner; give a formal speech"
declivity,Downward slope
delimit,"Fix, mark, or define the boundaries of"
dictum,Formal or authoritative pronouncement; saying or proverb
digress,Go off-topic when speaking or writing
dilatory,"Slow, late; procrastinating or stalling for time"
discomfiting,"Disconcerting, confusing, frustrating"
discrepancy,Difference or inconsistency
disingenuous,"Insincere, not genuine"
disposition,A person's general or natural mood; tendency
disquieting,"Disturbing, causing anxiety"
dissent,"Disagree or take an opposing view, esp. in
relation to a formal body such as a
government, political party, or church;
such a view"
distaff,"Female, esp. relating to the maternal side
of the family; women or women's work; a
staff that holds wool or flax for spinning"
dither,Act indecisively (verb); a state of fear or trembling excitement
diurnal,"Occurring every day; happening in the daytime
(rather than at night)"
doff,"Take off (such as clothes), put aside; remove
one's hat as a gesture"
droll,Funny in an odd way
dyspeptic,"Grumpy, pessimistic, irritable; suffering from
dyspepsia (indigestion)"
echelon,"A level, rank or grade; the people at that level"
egalitarian,"Related to belief in the equality of all people, esp. in political, economic, or social spheres"
elegy,"Song or poem of sorrow, esp. for a deceased person"
epicure,"Person with cultivated, refined tastes, esp. in food and wine"
ersatz,"Artificial, synthetic; being an inferior substitute"
erstwhile,"Former, previous (adj); in the past, formerly(adv)"
exigent,"Requiring immediate attention, action, or aid; excessively demanding"
extrapolate,"Conjecture about an unknown by
projecting information about something
known; predict by projecting past
experience"
fathom,"Measure the depth of (usually of water)
as with a sounding line; penetrate and
discover the meaning of, understand"
fetid,Stinking; having an offensive smell
figurative,"Metaphorical, based on figures of speech;
containing many figures of speech (as fancy-
sounding writing); related to portraying
human or animal figures"
forage,"Wander in search of; rummage, hunt, make a
raid"
ford,"Place where a river or similar body of water is
shallow enough to walk or ride a vehicle
across (noun); to cross at such a place (verb)"
fringe,"On the margin, periphery (adj); the people in a
group who hold the most extreme views (noun)"
fulminate,"Explode, detonate; attack verbally in a vehement, thunderous way"
garner,"Gather and store; amass, collect"
gawky,"Physically awkward (esp. of a tall, skinny person, often used to describe teenagers)"
gestation,"Pregnancy; the period from conception until
birth of an animal or (metaphorically) of an
idea or plan"
glacial,"Pertaining to glaciers; cold, icy, slow,
unsympathetic"
glower,"Stare in an angry, sullen way"
goad,"Urge on (as cattle) with a pointed or
electrically charged stick; spur on,
stimulate, encourage"
gradation,"A progression, a process taking place
gradually, in stages; one of these stages"
graft,"Insert part of a plant into another plant,
where it continues to grow; join living tissue
(such as skin) to part of the body where it
will continue to live and grow; attach as if
by grafting (verb); the part so grafted (as in
a graft of skin); the act of acquiring money
or other benefits through illegal means, esp.
by abusing one's power (noun)"
grandstand,"Perform showily in an attempt to impress
onlookers"
grating,"Irritating; harsh or discordant (of a noise);
scraping"
grievous,"Causing grief or suffering; very serious, grave; flagrant, outrageous"
grovel,"Creep or crawl with one's face to the
ground, prostrate oneself as a token of
subservience, degrade or abase oneself"
hand-wringing,"Grasping, squeezing, etc. of the hands as an expression of nervousness, guilt, etc.; extend debate over what to do about an issue"
hardy,"Bold, brave, capable of withstanding hardship, fatigue, cold, etc."
harrow,Farming tool that breaks up soil (noun); painfully disturb or distress (verb)
hearken,"Listen, pay attention to"
hedge,Avoid commitment by leaving provisions for withdrawal or changing one's mind; protect a bet by also betting on the other side
hedonist,Person devoted to pleasure
hermetic,"Airtight, sealed, isolated; reclusive;
pertaining to alchemy, occult"
hew,"Strike, chop, or hack (as with an axe,
sword. etc.); make or shape something
(such as a statue) with a cutting tool"
hoary,"Very old, gray or white as from old age"
homage,Honor or respect demonstrated publicly
hotly,"In an intense, fiery, or heated way"
imbue,"Permeate or saturate, as dye in a fabric;
influence throughout"
imperious,"Commanding, domineering; acting like a
high-ranking person; urgent"
imprecation,Curse; prayer for harm to come to someone
impugn,Attack the truth or integrity of
impute,"Credit, attribute; lay blame or responsibility for (sometimes falsely)"
inasmuch,"In like manner, considering that
(contraction of ""in as much,"" generally
followed by ""as"")"
incarnadine,Blood red or flesh-colored
inconstancy,"Fickleness, unreliability; the state of changing without good reason"
inculcate,"Teach persistently, implant (an idea) in a person"
indefatigable,"Untiring, not able to become fatigued"
indeterminate,"Not fixed or determined, indefinite; vague"
inform,"Inspire, animate; give substance, essence,
or context to; be the characteristic quality
of"
ingrained,"Deep-rooted, forming part of the very
essence; worked into the fiber"
ingrate,Ungrateful person
inordinate,"Excessive, not within proper limits,
unrestrained"
inquest,"Legal or judicial inquiry, especially before a
jury and especially made by a coroner into the
cause of someone's death; the results of such
an inquiry"
insinuate,"Hint, suggest slyly; introduce (an idea) into
someone's mind in a subtle, artful way"
insurrection,"Rebellion or revolt against a government or
similarly established authority"
interplay,"Interaction, reciprocal relationship or
influence"
investiture,Investing; formally giving someone a right or title
invidious,"Hateful, offensive, injurious"
itinerary,Travel schedule; detailed plan for a journey
juncture,"Critical point in time, such as a crisis or a time
when a decision is necessary; a place where
two things are joined together"
kindle,"Ignite, cause to begin burning; incite, arouse,
inflame"
knell,"The sound made by a bell for a funeral, or any
sad sound or signal of a failure, death, ending,
etc. (noun); to make such a sound (verb)"
languid,"Drooping from exhaustion, sluggish, slow;
lacking in spirit"
larceny,Theft
layperson,"A person who is not a member of the clergy or
not a member of a particular profession (such
as medicine, law, etc.)"
levy,"Collect tax from, wage war on, or enlist for
military service; (verb); act of colleting tax or
amount owed, or the drafting of troops into
military service (noun)"
licentious,"Sexually unrestrained; immoral; ignoring the
rules"
lissome,"Flexible, supple, agile"
listless,"Spiritless, lacking interest or energy"
lull,"Soothe or cause to fall asleep (as in a lullaby);
quiet down; make to feel secure, sometimes
falsely (verb); a period of calm or quiet (noun)"
"machination or
machinations",Crafty schemes or plots
maelstrom,"Violent whirlpool; any chaotic, turbulent
situation"
makeshift,"A temporary, often improvised, substitute
(noun); improvised for temporary use
(adj)"
mannered,"Having a particular manner, esp. an
artificial one"
mendicant,"Beggar, or religious follower who lives by
begging"
meretricious,"Attractive in a vulgar or flashy way,
tawdry; deceptive"
metaphysical,"Concerned with abstract thought, related
to metaphysics (branch of philosophy
concerned with explaining the nature of
being and of the world); very subtle or
abstruse"
militate,"Have a great effect, weigh heavily (often as
militate against)"
mired,"Stuck, entangled (in something, like a
swamp or muddy area), soiled"
mirth,"Jollity, merriment; amusement or laughter"
missive,"Letter, written message"
modicum,A little bit or limited quantity
molt,"Shed or cast off, esp. to regularly shed skin,
feathers, etc. (as a snake)"
monastic,"Relating to or resembling a monastery
(where monks or nuns live), esp. by being
quiet, secluded, contemplative, strict,
and/or lacking luxuries"
mores,"Customs, manners, or morals of a
particular group"
myopic,"Near-sighted; lacking long-term thinking,
short-sighted"
neologism,"New word or phrase (or a new meaning
applied to an existing word or phrase)"
normative,"Implying or attempting to establish a norm;
expressing value judgments or telling people
what to do (rather than merely describing that
which is happening)"
offhand,"Casual, informal; done without preparation or
forethought; rude in a short way, brusque"
officious,"Excessively eager in giving unwanted advice
or intruding where one is not wanted;
meddlesome, pushy"
offset,"Counteract, compensate for (verb); a
counterbalance (noun)"
opine,Express an opinion
orotund,"Full, rich, and clear (of the voice or
speaking); pompous, bombastic"
outstrip,"Surpass, exceed; be larger or better than; leave
behind"
palatial,"Suitable for or resembling a palace,
magnificent"
panoply,"Splendid, wide-ranging, impressive display or
array"
paradigm,"Model or pattern; worldview, set of shared
assumptions, values, etc."
pare,"Social outcast, untouchable"
parley,"Discussion, negotiation, esp. between
enemies (noun); to have such a discussion
(verb)"
partisan,"Devoted to a particular group, cause, etc.
(adj.); fervent supporter of a group, party, idea,
etc.; guerilla fighter (noun"
