Word,Meaning
polyglot,"Speaking or composed of many languages
(of a person, book, etc.); a person who
knows several languages"
ponderous,"Heavy; bulky and unwieldy; dull, labored"
posit,"Presume, suggest, put forward (an idea)"
prattle,"Talk in an idle, simple-minded,
meaningless, or foolish way; chatter,
babble"
précis,"Concise summary, abstract"
predilection,"Preference, tendency or favorability
towards"
predisposed,"Having an inclination or tendency
beforehand; susceptible"
preternatural,"Supernatural, exceptional"
probity,"Honesty, integrity"
proclivity,"Inclination, natural tendency"
profligate,"Completely and shamelessly immoral, or
extremely wasteful"
pronounced,"Distinct, strong, clearly indicated"
propitious,"Favorable, giving good signs for the future,
likely to work out; kind or forgiving"
prospective,"Potential, in the future"
providential,"Lucky, fortunate, or relating to divine care
(the idea that a deity has helped or cared for
a person)"
pugilism,"boxing, fighting with the fists"
quiescent,"Quiet, still"
rarefied,"Lofty, very high up or elevated (in a
metaphorical way); exclusive, select; thin,
pure, or less dense (as air at the top of a
mountain)"
recapitulate,"Summarize, repeat in a concise way"
recrudescent,"Revival, breaking out into renewed activity"
redound,"To have a good or bad effect, esp. as a result
of a person's efforts or actions (usually used
with to, on, or upon)"
refulgent,"Shining, radiant"
rend,"Tear violently, esp. to tear one's clothing or
hair out of grief; pull apart, split, or tear away"
repast,A meal (noun); to eat or feast (verb)
reprobate,"Disreputable, unprincipled, or damned
person (noun); shameless, depraved (adj)"
revamp,"Renovate, redo, revise (verb); a restructuring,
upgrade, etc. (noun"
ribald,Using or relating to obscene or vulgar humor
rococo,"Very elaborate and ornate (in decorating or
metaphorically, as in speech and writing);
relating to a highly ornate style of art and
architecture in 18th-century France"
sardonic,"Scornfully or ironically mocking, cynically
derisive"
scant,Not enough or barely enough
scintilla,A tiny bit or trace
searchingly,"In a searching or penetrating manner; while
examining closely or probing for answers"
secular,"Not religious or holy; pertaining to worldly
things"
semantic,"Relating to the different meanings of words
or other symbol"
seraphic,"Like an angel; serene, spiritually carried off
or transported"
slack,"Loose, negligent, lazy, weak (adj); neglect to
do one's duties; loosen up, relax (verb);
period of little work (noun)"
slake,"Satisfy (esp. thirst), cool, or refresh; make
less active"
slew,A large number or quantity
slight,"Small, not very important, slender or delicate
(adj); treat as though not very important;
snub, ignore (verb); an act of treating in this
way, a discourtesy (noun)"
sobriquet,A nickname
solecism,"Nonstandard use of grammar or words;
mistake, esp. in etiquette"
solidarity,"Fellowship in interests, feelings,
responsibilities, etc., such as among a group
of people or among classes, nations, etc."
somatic,Of the body
spartan,"Very disciplined and stern; frugal, living simply,
austere; suggestive of the ancient Spartans"
spearhead,Be the leader of
speculate,"Contemplate; make a guess or educated guess
about; engage in a risky business transaction,
gamble"
sportive,"Playful, merry, joking around, done ""in sport""
(rather than intended seriously)"
squalid,"Disgusting, filthy, foul, extremely neglected"
squelch,"Crush, squash; suppress or silence; walk
through ooze or in wet shoes, making a
smacking or sucking sound"
stingy,"Not generous with money, reluctant to spend or
give"
stint,"Period of time spent doing something, or a
specific, limited amount of work (noun); to be
frugal, to get by on little (verb)"
stratagem,"Military maneuver to deceive or surprise;
crafty scheme"
stratum,"One of many layers (such as in a rock
formation or in the classes of a society)"
strut,A structural support or brace
subpoena,"A court order requiring a person to appear in
court and give testimony"
subside,"Sink, settle down, become less active; return to
a normal level"
sully,"Make dirty, stain, tarnish, defile"
sybarite,Person devoted to pleasure and luxury
tangential,"Only slightly relevant, going off-topic"
tawdry,"Gaudy, cheap or cheap-looking; indecent"
temperance,"Moderation, self-control, esp. regarding
alcohol or other desires or pleasures; total
abstinence from alcohol"
tendentious,"Marked by a strong point of view, biased"
tenuous,"Long and thin, slender; flimsy, having little substance"
timorous,"Fearful, timid"
toady,"Someone who flatters or acts in a servile
manner for self-serving reasons"
tome,"Large or scholarly book; one of the volumes
in a set of several book"
travesty,"Exaggerated, debased, or grotesque
imitation"
tumultuous,"Riotous, violently agitated, marked by
disturbance or uproar; noisy, chaotic"
turgid,"Swollen, inflated; or, metaphorically
""inflated,"" such as in overblown, pompous
speech"
unsparing,"Generous, lavish (as in not sparing any
help or gifts to others); unmerciful, harsh
(as in not sparing any criticism)"
variegated,"Varied in color, having multicolored patches or
spots; diverse"
verdant,"Green, such as with vegetation, plants, grass,
etc.; young and inexperienced"
vernal,"Relating to the spring; fresh, youthful"
vicissitude,"Changes or variations over time, esp. regular
changes from one thing to another"
vim,"Pep, enthusiasm, vitality, lively spirit"
viscid,viscous
vociferous,"Noisily crying out, as in protest"
wanton,"Reckless, vicious, without regard for what is
right; unjustifiable, deliberately done for no
reason at all; sexually unrestrained or
excessively luxurious"
welter,"Confused mass or pile, jumble; confusion or
turmoil (noun); roll around, wallow, toss
about, writhe (verb)"
whitewash,"A substance used to whiten walls, wood, etc.
(noun); deception, covering up of wrongs,
errors, misdeeds, etc. (verb)"
wily,"Crafty, cunning, characterized by tricks or
artifice"
winnow,"Sift, analyze critically, separate the useful part
from the worthless part"
winsome,"Charming, engaging, esp. in a sweet and
innocent way"
wizened,"Withered, shriveled"
yoke,"A burden or something that oppresses; a frame
for attaching animals (such as oxen) to each
other and to a plow or other equipment to be
pulled, or a bar across a person's shoulders to
help carry buckets of water, etc. (noun); to
unite together or to burden (verb)"
