Word,Meaning,synonym,Antonym,Usage
Besmirch,Cause damage or harm the reputation of someone or something,"smear, defile, slander, blacken, dishonor","praise, honor","Complaints of sexual harassment besmirched John’s image, who was otherwise known to be an excellent business leader.
The Minister was besmirched by his very own son for being a corrupt and money laundering government official."
Acute,"characterized by sharpness or severity of sudden onset
lasting a short time
marked by a keen sense to notice fine or subtle distinctions in something
demanding urgent attention","crucial, serious, severe, sharp, critical","insensitive, obtuse, dull, slow","Her illness was an acute flu, and she was back at work after one week of rest.
Dogs have an acute sense of smell.
The scandal was ana acute embarrassment for the president.
The legal community held Martha in high esteem as a judge who could examine finer nuances of the case and deliver acute judgement."
Begrudge,"to feel unhappy that someone has something because and you do not think that they deserve it
to feel unhappy about having to do , pay, or give something","resent, envy, grudge, covet","allow, give","Tourists begrudge paying tips to taxi drivers who tend to take advantage of their lack of familiarity with the place.
She had worked hard and achieved success. A few of her colleagues, however, begrudged her for her achievements.
When asked, her peers obviously refused to admit that they do not begrudge her being so successful!
The owner of the small shop begrudged giving a few dollars to the school children who were collecting money for a charity event."
Debacle,"A sudden, disastrous collapse, downfall or defeat; a rout","fiasco, downfall, disaster","success, boon, triumph","When the Germans bombed the Prince of Wales, the powerful British battleship, it was a debacle for the royal navy."
Fiasco,"something that does not succeed, often in a way that causes embarrasment","debacle, ruin, catastrophe, rout, mess, flop","blessing, benefit, wonder, success, advantage, boon, miracle","The dinner party was a fiasco, the meat was a cinder, and the dessert was bitter.
The play ended up being a big fiasco."
Concoct,"to make something, especially food or drink, by mixing different things","create, contrive, devise, design","duplicate, imitate, replicate, copycat, copy, mimic, reduplicate, reproduce",The teacher was amazed by the manner in which the student would concoct new stories each time he arrived late.
Comely,Pleasing and wholesome in appearance,"beautiful, decent, decorous, attractive","ugly, unattractive",The comely air hostess attracted everyone in the aircraft with her charm.
Complicity,the act of taking part with another person in a crime,"connivance, conspiracy, collusion, collaboration","innocence, refusal, noninvolvement, ignorance",The detective told Maria that Sara was suspected of complicity in the crime.
Indigenous,belonging to a particular place rather than coming from somewhere else,"native, endemic, aboriginal","expatriate, foreign, alien",The kangaroo is indigenous to Australia.
Stupor,A state of reduced or suspended sensibility,"shock, numbness, daze, unawareness","awareness, briskness, agility, wakefulness",For some time hearing the shattering news she was in a stupor totally immobilized by the enormity of its implications.
Cessation,the stopping of something; a pause in something,"halt, expiration, lapse, cease, termination","persistence, continuation, extension",The cessation of the snowstorm was a relief.
Falter,"Be unsteady in purpose or action, as from loss of courage or confidence","waver, hesitate","persevere, continue, remain",The little boy was confident that his father would hold him if he faltered while riding his new bike.
Blase,unimpressed with or indifferent to something because one has experienced or seen it so often before,"nonchalant, unconcerned","enthusiastic, eager, excited","After weeks of holidaying, with nothing to do but enjoy the sun and sand, she admitted that she was totally blase and no more taste for it."
Adamant,determined not to change your mind or to be persuaded about something,"unwavering, stubborn, inflexible, obdurate, rigid","pliant, compliant, receptive, susceptible","They were adamant about receiving an answer to their question, because their grades depended on it."
Aplomb,confidence and skill shown especially in a difficult situation,"courage, coolness, poise, assuredness",panic,One important trait a salesman should possess is a good degree of aplomb to help him push his ware confidently.
Belligerent,"hostile and aggressive
engaged in a war or conflict, as recognized by international law","pugnacious, contentious, quarrelsome, aggressive","passive, kind, peaceful, calm",The west Indies was belligerent in its bowling and general field behavior until Mushtaq Ali smashed their guard out of shape.
Compound,"Create something by mixing/combining separate elements
Make worse; intensify a negative situation","amalgamate, aggravate, exacerbate","lessen, disintegrate, abate, separate","Pharmaceutical scientists carefully isolated various chemicals from plants and animals, and compounded them in the right proportions to create the best possible medication for arthritis.
Keith was doing everything possible for his wife Sally. But her health issues were only compounding by the day.
The poor youth compounded a simple act of failure at work by not reporting it.
Releasing the code without adequate testing was not without risks; the software engineer compounded the problem further by not keeping his manager informed of the lapse."
Inveterate,"having a particular habit, activity, or interest that is long-established and unlikely to change","staunch, deep-rooted, incorrigible, ingrained","transient, fleeting, ephemeral, short-lived"," According to recent surway, meat-eaters worldwide have developed a bizarre mentality characterized by inveterate hostility towards vegans.
Despite her inveterate pessimism, Audrey’s friends perceive her as a ray of sunshine."
Clandestine,secretly conducted or purposed,"covert, surreptitious, undercover, secret","over, plain","The cardinal knew of the clandestine amorous meetings between the Queen and the Duke, they were not secret, after all."
bulwark,A defensive wall,"barricade, parapet, rampart",achilles’heel,The security forces are bulwark against the breakdown of society.
Subterranean,"under the surface of the ground
existing or working in secret","belowground, subsurface, underground",surface,Large part of the metro network of this city is subterranean as the dense city provided very little avenue for surface construction.
Chagrin,"feel distressed or humiliated
to feel vex or unsettled by disappointing or humiliating","discourage, frustrate","praise, encourage",Glynn was chagrined to find out that she had spilled chocolate sauce on her new prom gown in her drunken stupor.
Histrionics,excessively theatrical or dramatic in character or style; melodramatic behavior designed to attract attention,"dramatics, dramatization, performance,","composed, natural","Not having justice, truth or evidence on her side, the witness resorted to histrionics, breaking into bitter tears."
Celerity,rapidity of motion or action,"swiftness, haste, speed, hurry","sluggishness, slowness",They moved with great celerity when they heard about the flood.
Candor,the quality of being open and honest; frankness,"truthfulness, directness","dishonesty, deceit","As a veteran war journalists, Gastra recognized the impact of fear, danger, confusion, and fatigue on men in battle, and wrote about them with unusual candor."
Bedlam,a scene full of noise and confusion,"turmoil, uproar, babel, rumpus, clamour, chaos, furore, commotion","peace, calm, quiet",He is causing bedlam at the hotel.
Indigent,very poor,"impecunious, needy, impoverish, destitude","wealthy, rich",The wealthy merchant known for his generosity decided to establish an old age home in his town to provide them with geriatric care to indigent senior citizens who needed support.
Flagrant,"Shocking because it is done in a very obvious way and shows no respect for people, laws, etc.","brazen, glaring, blatant, barefaced",covert,"Despite all his expertise and unending hours of practice, he made such a flagrant error in his game that even the referee was too stunned to react."
Capitulate,"to agree to do something that you have been refusing to do for a long time
to stop resisting an enemy and accept that you are defeated","surrender, yield","defend, fight, resist",The club eventually capitulated and granted equal rights to women.
Laceration,a deep cut or tear in skin or flesh,"injury, slash","healing, remedy, cure","The laceration on his hands took a long time to heal. The skin and flesh on both his hands had torn when he jumped over that wall lined with barbed metal wire.
The doctor reported that the man’s death was due to multiple skull fractures with laceration of the brain."
Infraction,an act of breaking a rule or law,"transgression, infringement, breach, contravention","observance, compliance","He was suspended from school for a week for infraction of rules in the classroom. Anyway, this is not the first time he has violated the rules, he is the most rebellious child I have ever seen."
Hirsute,having more hair on the face or body,"hairy, shaggy",hairless,"His body was broad, hirsute, and covered with scars, some of them full six inches long."
Indiscriminate,Done at random without careful judgement,haphazard aimless,"painstaking, precise, methodical",A group of masked terrorist entered the crowed railway terminus in Mumbai on that fateful November evening and started indiscriminate firing at the anyone who came to their view.
