Word,Meaning,Synonym,Antonym,Usage
Exalt,"Think or speak very high of (someone or something)
Raise in rank, character or status","magnify, elevate, acclaim","humiliate, degrade","In the middle ages, the village bards used to compose songs and poetry exalting the miracles of the Virgin Mary.
The honeymoon is still in full swing, and social media will continue to exalt him until they find some other person to attract the attention of netizens!
Despite the massive defeat in the recent elections, it is surprising to see loyal party members continuing to exalt the chairman of the party."
Congruous,"corresponding or agreeing, suitable
marked or enhanced by harmonious agreement among constituent","compatible, conformable, consistent, harmonious, accordant, consonanat","incongruous, unfitting, disagreeing, unharmonious, unsuitable","I think we should change the name of our agency. It is not congruous to what we are doing.
The journalist’s shift into politics was congruous with his aspirations, since he has always been a strong supporter of corrupt-free administration.
fighter jets pilots coordinate both with each other and with the controller on the ground to fly together in formations that look graceful and congruous."
Infatuation,"very strong feelings of love or attraction for someone or something, especially when these are unreasonable and do not last long","crush, obsession","dislike, hatred",Teenagers have their own infatuations.
Foreboding,a strong feeling that something unpleasant or dangerous is going to happen,"omen, warning, disquiet, apprehensiveness, trepidation, perturbation, premonition",providence,"Though the circumstances were foreboding and demanded him to be pessimistic, he was chipper and enthusiastic.
He has a strange foreboding that he would meet with an accident."
Aggravate,"to intensify and worsen an illness or an already unpleasant situation
to irritate someone deliberately",exacerbate,"alleviate, relieve, allay, mitigate, please, assuage, aid","Pollution can aggravate asthma.
The country’s dire economic position was further aggravated due to the non-arrival of the monsoon which was bound to have an impact on agricultural output.
When the puppy who was already so dull since yesterday refused to eat, my anxiety got further aggravated.
When relations between two nations are going trough a rough patch, any incident at their borders is viewed with caution. Any untoward even has the potential to aggravate the situation."
Stupendous,"extremely large or impressive, especially greater or better than you expect","huge, colossal, vast, mega, staggering, gigantic, enormous","unimportant, ordinary",there are always many who envy a person with stupendous wealth
Abrasion,"the act or process of damaging or wearing away something by rubbing, grinding, or scraping
a damaged area of the skin where it has been rubbed against something hard and rough","scrape, graze",,He suffered cuts and abrasions to the face.
Foreclose,"Rule out or prevent a course of action.
take away the right of mortgagors to redeem their mortgage","deprive, exclude, preclude, rule out",,"Failing to get either payment or any response, the bank decided to foreclose the five-year loan account in 2 years."
Strictures,"severe criticism, especially of somebody’s behaviour","castigation, censure","praise, compliment",She merely ignored any strictures on the way she dressed
Collation,"the action of collecting and combining something
light informal meal","contrast, juxtaposition, supper, comparision","feast, fiesta","Do not underestimate the benefits of collation and comparison of data from different sources.
After the meeting concluded, the host invited the delegates for a collation where simple traditional delicacies of his country were served.
During Ramadan, a month of fasting, he takes only collation after sunset."
Discreet,"Showing good judgement and restraint especially in conduct or speech, without causing social embarrassment or distress
not readily seen or noticed","diplomatic, covert, unnoticeable, tactful, prudent, inconspicuous, judicious","overt, blunt, rash, careless, open, direct","The father of the girl to be married carried out discreet enquiries into the antecedents of the youth who had proposed to the girl.
Though he meant to enter his house discreetly without making a noise, the keys emitted a click so loud that his parents woke up"
Coaxing,gentle attempts to persuade somebody to do something or to get a machine to start,"tempt, induce, cajole, wheedle","repel, repulse, discourage","Despite his earnest coaxing, the car refused to start.
The coaxing worked and his daughter ate the meal eventually"
Frigid,"very cold
not showing any feelings of friendship or kindness
not able to enjoy sex","freezing, bitter, arctic","sweltering, fervent, igneous, ardent","The water was too frigid to allow him to remain submerged.
When the storm blew in from Alaska, the wind was absolutely frigid."
dissilusion,"to destroy someone’s belief in something or to destroy someone’s good opinion of someone
disappointment resulting from the discovery that something is not as good as one believed it to be
cause (someone) to realize that a belief they hold is false","disenchant, undeceive, disabuse",delude,Cathy was disillusioned when she learnt that Bob whom she seriously dating all these years also had an affair with another woman.
Infedility,Unfaithfulness in understanding agreement or contract,"unfaithfulness, disloyalty",fidelity,"Indian cinema seems to be focusing on infidelity and extra marital affairs, issues that were not spoken about openly earlier"
Tantalize,Excite by exposing something desirable while keeping it out of reach,"tease, bait, harass","comply, please, satisfy","Fate often tantalizes its victim by holding out hope and immediately substituting it with open despair.
Rick Riordan is a pro at tantalizing his readers with cliffhangers.
His friends tantalized him with junk foods loaded with sugar, knowing fully well that he is on a strict diet."
Profundity,"the quality of understanding or dealing with a subject at a very serious level
the quality of being very great, serious, or powerful
something that someone says that shows great understanding","profoundness, depth","unreasonableness, illogical, stupidity, Irrationality","Her books are a mixture of playfulness and profundity.
The depth and profundity of her feelings."
